origCtryISO3,origCtryName,destCtryISO3,destCtryName,month,year,nonStopVol,totalVol
PAK,Pakistan,ARE,United Arab Emirates,1,2010,85222,88939
PAK,Pakistan,SAU,Saudi Arabia,1,2010,51111,70935
PAK,Pakistan,GBR,United Kingdom,1,2010,29213,40459
PAK,Pakistan,OMN,Oman,1,2010,10083,11883
PAK,Pakistan,USA,United States,1,2010,566,10891
PAK,Pakistan,KWT,Kuwait,1,2010,5880,8459
PAK,Pakistan,CAN,Canada,1,2010,4056,7713
PAK,Pakistan,DEU,Germany,1,2010,981,6802
PAK,Pakistan,ITA,Italy,1,2010,3072,6473
PAK,Pakistan,THA,Thailand,1,2010,5770,6257
PAK,Pakistan,QAT,Qatar,1,2010,3360,5427
PAK,Pakistan,BHR,Bahrain,1,2010,1811,4611
PAK,Pakistan,CHN,China,1,2010,2031,4458
PAK,Pakistan,MYS,Malaysia,1,2010,1855,4137
PAK,Pakistan,SYR,Syria,1,2010,0,4052
PAK,Pakistan,BGD,Bangladesh,1,2010,3205,3456
PAK,Pakistan,AUS,Australia,1,2010,0,2709
PAK,Pakistan,ESP,Spain,1,2010,2233,2640
PAK,Pakistan,AFG,Afghanistan,1,2010,2292,2435
PAK,Pakistan,IND,India,1,2010,2077,2308
PAK,Pakistan,NLD,Netherlands,1,2010,1568,2062
PAK,Pakistan,FRA,France,1,2010,1480,2049
PAK,Pakistan,NOR,Norway,1,2010,1657,1957
PAK,Pakistan,DNK,Denmark,1,2010,1519,1816
PAK,Pakistan,HKG,Hong Kong (SAR),1,2010,1305,1743
PAK,Pakistan,SGP,Singapore,1,2010,759,1667
PAK,Pakistan,ZAF,South Africa,1,2010,0,1654
PAK,Pakistan,GRC,Greece,1,2010,0,1509
PAK,Pakistan,LKA,Sri Lanka,1,2010,1256,1400
PAK,Pakistan,IRN,Iran,1,2010,797,1224
PAK,Pakistan,JPN,Japan,1,2010,624,1208
PAK,Pakistan,TUR,Turkey,1,2010,444,1070
PAK,Pakistan,EGY,Egypt,1,2010,0,1013
PAK,Pakistan,KOR,Korea (South),1,2010,0,755
PAK,Pakistan,SWE,Sweden,1,2010,0,718
PAK,Pakistan,KEN,Kenya,1,2010,0,666
PAK,Pakistan,NPL,Nepal,1,2010,583,628
PAK,Pakistan,SDN,Sudan,1,2010,0,553
PAK,Pakistan,IRL,Ireland,1,2010,0,509
PAK,Pakistan,TZA,Tanzania,1,2010,0,500
PAK,Pakistan,CHE,Switzerland,1,2010,0,480
PAK,Pakistan,IDN,Indonesia,1,2010,0,419
PAK,Pakistan,BEL,Belgium,1,2010,0,332
PAK,Pakistan,JOR,Jordan,1,2010,0,325
PAK,Pakistan,PHL,Philippines,1,2010,0,316
PAK,Pakistan,YEM,Yemen,1,2010,0,285
PAK,Pakistan,NGA,Nigeria,1,2010,0,253
PAK,Pakistan,CYP,Cyprus,1,2010,0,237
PAK,Pakistan,UGA,Uganda,1,2010,0,236
PAK,Pakistan,NZL,New Zealand,1,2010,0,182
PAK,Pakistan,AGO,Angola,1,2010,0,148
PAK,Pakistan,AUT,Austria,1,2010,0,147
PAK,Pakistan,LBN,Lebanon,1,2010,0,147
PAK,Pakistan,LBY,Libya,1,2010,0,144
PAK,Pakistan,IRQ,Iraq,1,2010,0,121
PAK,Pakistan,ETH,Ethiopia,1,2010,0,117
PAK,Pakistan,RUS,Russia,1,2010,0,109
PAK,Pakistan,BWA,Botswana,1,2010,0,99
PAK,Pakistan,AZE,Azerbaijan,1,2010,0,93
PAK,Pakistan,DZA,Algeria,1,2010,0,93
PAK,Pakistan,VNM,Viet Nam,1,2010,0,92
PAK,Pakistan,BRA,Brazil,1,2010,0,75
PAK,Pakistan,MDV,Maldives,1,2010,0,71
PAK,Pakistan,PRT,Portugal,1,2010,0,64
PAK,Pakistan,MAR,Morocco,1,2010,0,59
PAK,Pakistan,TWN,Taiwan,1,2010,0,57
PAK,Pakistan,FIN,Finland,1,2010,0,57
PAK,Pakistan,CIV,Cote D'Ivoire,1,2010,0,53
PAK,Pakistan,TUN,Tunisia,1,2010,0,49
PAK,Pakistan,MMR,Myanmar,1,2010,0,48
PAK,Pakistan,MOZ,Mozambique,1,2010,0,44
PAK,Pakistan,KGZ,Kyrgyzstan,1,2010,0,39
PAK,Pakistan,ROU,Romania,1,2010,0,35
PAK,Pakistan,UZB,Uzbekistan,1,2010,29,34
PAK,Pakistan,HUN,Hungary,1,2010,0,32
PAK,Pakistan,KHM,Cambodia,1,2010,0,30
PAK,Pakistan,KAZ,Kazakhstan,1,2010,0,29
PAK,Pakistan,CZE,Czech Republic,1,2010,0,28
PAK,Pakistan,BRN,Brunei Darussalam,1,2010,0,26
PAK,Pakistan,GHA,Ghana,1,2010,0,26
PAK,Pakistan,BGR,Bulgaria,1,2010,0,26
PAK,Pakistan,POL,Poland,1,2010,0,24
PAK,Pakistan,DJI,Djibouti,1,2010,0,22
PAK,Pakistan,ZWE,Zimbabwe,1,2010,0,21
PAK,Pakistan,CHL,Chile,1,2010,0,21
PAK,Pakistan,MUS,Mauritius,1,2010,0,17
PAK,Pakistan,ZMB,Zambia,1,2010,0,15
PAK,Pakistan,SYC,Seychelles,1,2010,0,15
PAK,Pakistan,MDG,Madagascar,1,2010,0,15
PAK,Pakistan,SWZ,Swaziland,1,2010,0,14
PAK,Pakistan,MLT,Malta,1,2010,0,13
PAK,Pakistan,ALB,Albania,1,2010,0,13
PAK,Pakistan,UKR,Ukraine,1,2010,0,12
PAK,Pakistan,VIR,Virgin Islands (US),1,2010,0,11
PAK,Pakistan,GEO,Georgia,1,2010,0,9
PAK,Pakistan,SEN,Senegal,1,2010,0,9
PAK,Pakistan,GIN,Guinea,1,2010,0,8
PAK,Pakistan,BLR,Belarus,1,2010,0,8
PAK,Pakistan,TTO,Trinidad-Tobago,1,2010,0,6
PAK,Pakistan,MEX,Mexico,1,2010,0,5
PAK,Pakistan,CUB,Cuba,1,2010,0,5
PAK,Pakistan,PRI,Puerto Rico,1,2010,0,4
PAK,Pakistan,ERI,Eritrea,1,2010,0,4
PAK,Pakistan,HRV,Croatia,1,2010,0,4
