Country,Code,IHME,Antillon,Mogasale,Kim,Median Burden,Burden Group
Afghanistan,AFG,73.96,"1,233.49",744.26,744.26,744.26,V. High
DR Congo,COD,104.06,"1,622.93",584.01,584.01,584.01,V. High
Chad,TCD,225.49,904.55,560.83,560.83,560.83,V. High
Bangladesh,BGD,545.09,"1,100.71",315.51,315.51,545.09,V. High
CAR,CAF,99.04,843.37,529.52,529.52,529.52,V. High
Burkina Faso,BFA,405.49,570.78,518.22,518.22,518.22,V. High
Sierra Leone,SLE,194.09,925.15,496.63,496.63,496.63,High
Niger,NER,162.58,453.87,510.33,510.33,453.87,High
Nigeria,NGA,197.46,605.42,451.35,451.35,451.35,High
India,IND,499.01,81.27,438.94,438.94,438.94,High
Somalia,SOM,199.37,481.84,438.15,438.15,438.15,High
Benin,BEN,172.21,"1,925.84",410.89,410.89,410.89,High
Mali,MLI,174.41,408.25,424.08,424.08,408.25,High
Lao PDR,LAO,320.24,838.34,406.24,406.24,406.24,High
Timor-Leste,TLS,260.16,412.99,395.83,395.83,395.83,High
Ethiopia,ETH,116.75,613.71,392.41,392.41,392.41,High
Madagascar,MDG,106.35,"1,252.88",382.2,82.06,382.2,High
Nepal,NPL,435.58,113.25,375.35,375.35,375.35,High
Liberia,LBR,160.29,"1,337.74",375.33,375.33,375.33,High
Côte d'Ivoire,CIV,133.6,607.09,366.3,366.3,366.3,High
Congo,COG,57.79,365.1,493.37,493.37,365.1,High
Zambia,ZMB,130.76,361.97,367.02,367.02,361.97,High
Cambodia,KHM,334.42,646.03,352.87,352.87,352.87,High
Bhutan,BTN,401.95,101.27,346.49,346.49,346.49,High
Eritrea,ERI,124.82,516.49,326.61,326.61,326.61,High
Rwanda,RWA,100.03,344.85,316.41,316.41,316.41,High
Philippines,PHL,216.48,878.7,310.65,310.65,310.65,High
Mozambique,MOZ,167.96,293.55,410.47,410.47,293.55,High
Pakistan,PAK,300.81,123.24,292.56,292.56,292.56,High
Angola,AGO,98.95,287.06,586.17,586.17,287.06,High
Burundi,BDI,105.3,"1,980.64",273.58,273.58,273.58,High
Guinea-Bissau,GNB,28.01,268.97,436.98,20.09,268.97,High
Myanmar,MMR,193.01,310.01,267.15,267.15,267.15,High
Cameroon,CMR,181.75,264.51,462.83,462.83,264.51,High
Papua New Guinea,PNG,256.13,"7,892.22",24.94,24.94,256.13,High
Zimbabwe,ZWE,3.45,274.39,250.3,250.3,250.3,High
Togo,TGO,229.03,168.1,413,413,229.03,High
Gabon,GAB,44.44,221.34,407.63,407.63,221.34,High
Kenya,KEN,209.9,193.59,407.63,630.46,209.9,High
Ghana,GHA,187.41,205.78,250.25,250.25,205.78,High
Mauritania,MRT,203.02,175.75,379.06,379.06,203.02,High
Thailand,THA,212.46,8.15,199.53,199.53,199.53,High
Gambia,GMB,115.71,198.98,336.24,336.24,198.98,High
South Sudan,SSD,126.05,259.85,,,192.95,High
Malawi,MWI,89.96,174.33,298.21,298.21,174.33,Medium
Tanzania,TZA,117.5,553.27,164.7,164.7,164.7,Medium
Senegal,SEN,159.71,115.18,349.76,349.76,159.71,Medium
Namibia,NAM,2.63,158.74,179.27,179.27,158.74,Medium
Sri Lanka,LKA,152.71,16.27,295.96,295.96,152.71,Medium
Guinea,GIN,149.93,649.11,2.72,369.75,149.93,Medium
Solomon Islands,SLB,146.82,"1,428.61",18.29,18.29,146.82,Medium
Uganda,UGA,103.83,146.07,329.42,329.42,146.07,Medium
Indonesia,IDN,327.97,74.1,140.15,140.15,140.15,Medium
Kiribati,KIR,129.29,596.08,21.26,21.26,129.29,Medium
Botswana,BWA,2.2,128.94,175.58,175.58,128.94,Medium
Malaysia,MYS,128.59,15.54,209.02,209.02,128.59,Medium
Vietnam,VNM,148.84,60.28,128.54,128.54,128.54,Medium
Vanuatu,VUT,125.01,201.15,20.32,20.32,125.01,Medium
Micronesia,FSM,116.39,228.59,15.26,15.26,116.39,Medium
Swaziland,SWZ,3.48,116.1,243.46,243.46,116.1,Medium
Sao Tome and Principe,STP,113.07,30.87,408.54,408.54,113.07,Medium
Samoa,WSM,112.67,147.82,15.55,15.55,112.67,Medium
Cape Verde,CPV,107.5,30.02,306.43,306.43,107.5,Medium
Djibouti,DJI,70.72,104.46,232.75,232.75,104.46,Medium
Tonga,TON,122.29,91.07,12.54,12.54,91.07,Medium
Comoros,COM,76.7,56.31,272.86,272.86,76.7,Medium
Yemen,YEM,76.21,"5,849.85",22.32,22.32,76.21,Medium
